"","setname","teamName","opponent","season","wonMatch","wonSet","serveErr","setErr","attackErr","freeballErr","ace","kill","stuffBlock","unforcedErrs","earnedPts"
"1","180824 CU vs ORU 3-1s1","CU","ORU","CU 18","TRUE","TRUE",1,1,2,0,2,10,5,4,17
"2","180824 CU vs ORU 3-1s2","CU","ORU","CU 18","TRUE","FALSE",1,2,5,1,0,8,1,9,9
"3","180824 CU vs ORU 3-1s3","CU","ORU","CU 18","TRUE","TRUE",2,1,3,0,2,11,4,6,17
"4","180824 CU vs ORU 3-1s4","CU","ORU","CU 18","TRUE","TRUE",2,0,3,0,0,14,0,5,14
"5","180824 CU vs UNF 3-0s1","CU","UNF","CU 18","TRUE","TRUE",3,0,3,2,1,17,3,8,21
"6","180824 CU vs UNF 3-0s2","CU","UNF","CU 18","TRUE","TRUE",0,2,5,0,0,15,4,7,19
"7","180824 CU vs UNF 3-0s3","CU","UNF","CU 18","TRUE","TRUE",0,1,1,0,1,13,1,2,15
"8","180825 CU @ WY 2-3s1","CU","WY","CU 18","FALSE","FALSE",1,1,3,1,1,13,2,6,16
"9","180825 CU @ WY 2-3s2","CU","WY","CU 18","FALSE","FALSE",1,1,4,0,1,13,1,6,15
"10","180825 CU @ WY 2-3s3","CU","WY","CU 18","FALSE","TRUE",0,0,2,1,2,14,3,3,19
"11","180825 CU @ WY 2-3s4","CU","WY","CU 18","FALSE","TRUE",1,0,3,0,0,13,6,4,19
"12","180825 CU @ WY 2-3s5","CU","WY","CU 18","FALSE","FALSE",2,0,2,0,0,5,1,4,6
"13","180831 CU vs IL 0-3s1","CU","IL","CU 18","FALSE","FALSE",2,1,2,0,0,11,0,5,11
"14","180831 CU vs IL 0-3s2","CU","IL","CU 18","FALSE","FALSE",1,1,5,0,0,12,5,7,17
"15","180831 CU vs IL 0-3s3","CU","IL","CU 18","FALSE","FALSE",1,0,4,0,1,12,2,5,15
"16","180901 CU vs IA 3-1s1","CU","IA","CU 18","TRUE","TRUE",1,0,2,0,2,11,3,3,16
"17","180901 CU vs IA 3-1s2","CU","IA","CU 18","TRUE","TRUE",1,0,0,0,1,14,2,1,17
"18","180901 CU vs IA 3-1s3","CU","IA","CU 18","TRUE","FALSE",3,0,6,0,0,14,1,9,15
"19","180901 CU vs IA 3-1s4","CU","IA","CU 18","TRUE","TRUE",0,0,1,0,3,15,4,1,22
"20","180907 CU vs GA 1-3s1","CU","GA","CU 18","FALSE","FALSE",3,1,4,0,0,14,1,8,15
"21","180907 CU vs GA 1-3s2","CU","GA","CU 18","FALSE","TRUE",0,1,2,2,1,18,1,5,20
"22","180907 CU vs GA 1-3s3","CU","GA","CU 18","FALSE","FALSE",2,0,4,1,0,12,0,7,12
"23","180907 CU vs GA 1-3s4","CU","GA","CU 18","FALSE","FALSE",3,0,1,0,0,14,0,4,14
"24","180908 CU vs NC 3-0s1","CU","NC","CU 18","TRUE","TRUE",1,0,2,0,2,13,4,3,19
"25","180908 CU vs NC 3-0s2","CU","NC","CU 18","TRUE","TRUE",1,1,2,0,2,16,2,4,20
"26","180908 CU vs NC 3-0s3","CU","NC","CU 18","TRUE","TRUE",1,1,6,0,2,17,1,8,20
"27","180908 CU vs OK 3-0s1","CU","OK","CU 18","TRUE","TRUE",1,0,2,0,0,15,4,3,19
"28","180908 CU vs OK 3-0s2","CU","OK","CU 18","TRUE","TRUE",2,0,5,0,4,15,3,7,22
"29","180908 CU vs OK 3-0s3","CU","OK","CU 18","TRUE","TRUE",2,0,1,0,0,14,5,3,19
"30","180914 CU vs Portland St 3-0s1","CU","Portland St","CU 18","TRUE","TRUE",3,0,1,0,4,16,0,4,20
"31","180914 CU vs Portland St 3-0s2","CU","Portland St","CU 18","TRUE","TRUE",1,1,1,1,3,11,3,4,17
"32","180914 CU vs Portland St 3-0s3","CU","Portland St","CU 18","TRUE","TRUE",3,1,2,1,1,15,1,7,17
"33","180915 CU vs CO St 3-1s1","CU","CO St","CU 18","TRUE","TRUE",2,1,2,0,1,14,6,5,21
"34","180915 CU vs CO St 3-1s2","CU","CO St","CU 18","TRUE","TRUE",1,0,5,0,1,14,3,6,18
"35","180915 CU vs CO St 3-1s3","CU","CO St","CU 18","TRUE","FALSE",2,0,3,1,0,8,3,6,11
"36","180915 CU vs CO St 3-1s4","CU","CO St","CU 18","TRUE","TRUE",0,0,3,0,2,12,5,3,19
"37","180915 CU vs IN St 3-0s1","CU","IN St","CU 18","TRUE","TRUE",1,0,3,1,0,17,2,5,19
"38","180915 CU vs IN St 3-0s2","CU","IN St","CU 18","TRUE","TRUE",1,0,8,0,0,19,3,9,22
"39","180915 CU vs IN St 3-0s3","CU","IN St","CU 18","TRUE","TRUE",0,1,6,1,0,17,1,8,18
"40","180919 CU vs UT 3-2s1","CU","UT","CU 18","TRUE","FALSE",1,1,6,0,0,12,2,8,14
"41","180919 CU vs UT 3-2s2","CU","UT","CU 18","TRUE","TRUE",1,0,4,0,0,13,5,5,18
"42","180919 CU vs UT 3-2s3","CU","UT","CU 18","TRUE","FALSE",2,0,1,0,0,7,2,3,9
"43","180919 CU vs UT 3-2s4","CU","UT","CU 18","TRUE","TRUE",0,0,5,0,1,13,4,5,18
"44","180919 CU vs UT 3-2s5","CU","UT","CU 18","TRUE","TRUE",0,0,1,0,1,9,0,1,10
"45","190830 CU vs WY 3-0s1","CU","WY","CU 19","TRUE","TRUE",0,0,2,1,3,12,3,3,18
