"","setname","teamName","opponent","season","wonMatch","wonSet","serveErr","setErr","attackErr","freeballErr","ace","kill","stuffBlock","unforcedErrs","earnedPts"
"1","180824 CU vs ORU 3-1s1","ORU","CU","18","FALSE","FALSE",2,1,4,1,0,9,2,8,11
"2","180824 CU vs ORU 3-1s2","ORU","CU","18","FALSE","TRUE",2,1,2,0,1,12,3,5,16
"3","180824 CU vs ORU 3-1s3","ORU","CU","18","FALSE","FALSE",3,0,4,1,1,11,1,8,13
"4","180824 CU vs ORU 3-1s4","ORU","CU","18","FALSE","FALSE",3,1,7,0,0,12,1,11,13
"5","180824 CU vs UNF 3-0s1","UNF","CU","18","FALSE","FALSE",2,0,2,0,1,11,3,4,15
"6","180824 CU vs UNF 3-0s2","UNF","CU","18","FALSE","FALSE",3,1,2,0,0,9,1,6,10
"7","180824 CU vs UNF 3-0s3","UNF","CU","18","FALSE","FALSE",1,2,6,1,1,12,2,10,15
"8","180825 CU @ WY 2-3s1","WY","CU","18","TRUE","TRUE",4,0,3,0,0,13,6,7,19
"9","180825 CU @ WY 2-3s2","WY","CU","18","TRUE","TRUE",4,0,1,0,1,17,1,5,19
"10","180825 CU @ WY 2-3s3","WY","CU","18","TRUE","FALSE",1,1,4,0,1,15,2,6,18
"11","180825 CU @ WY 2-3s4","WY","CU","18","TRUE","FALSE",3,0,3,0,0,9,3,6,12
"12","180825 CU @ WY 2-3s5","WY","CU","18","TRUE","TRUE",4,0,2,0,0,11,0,6,11
"13","180831 CU vs IL 0-3s1","IL","CU","18","TRUE","TRUE",3,1,4,0,3,14,3,8,20
"14","180831 CU vs IL 0-3s2","IL","CU","18","TRUE","TRUE",5,0,1,0,0,15,4,6,19
"15","180831 CU vs IL 0-3s3","IL","CU","18","TRUE","TRUE",3,1,2,0,3,13,4,6,20
"16","180901 CU vs IA 3-1s1","IA","CU","18","FALSE","FALSE",3,0,5,1,1,14,1,9,16
"17","180901 CU vs IA 3-1s2","IA","CU","18","FALSE","FALSE",6,0,2,0,2,15,3,8,20
"18","180901 CU vs IA 3-1s3","IA","CU","18","FALSE","TRUE",5,1,1,0,0,13,3,7,16
"19","180901 CU vs IA 3-1s4","IA","CU","18","FALSE","FALSE",1,1,1,0,0,9,3,3,12
"20","180907 CU vs GA 1-3s1","GA","CU","18","TRUE","TRUE",3,0,3,0,1,15,1,6,17
"21","180907 CU vs GA 1-3s2","GA","CU","18","TRUE","FALSE",1,0,3,1,2,14,2,5,18
"22","180907 CU vs GA 1-3s3","GA","CU","18","TRUE","TRUE",4,0,7,0,2,12,4,11,18
"23","180907 CU vs GA 1-3s4","GA","CU","18","TRUE","TRUE",1,0,4,0,1,18,2,5,21
