"","setname","teamName","opponent","season","wonMatch","wonSet","serveErr","setErr","attackErr","freeballErr","ace","kill","stuffBlock","unforcedErrs","earnedPts"
"1","180824 CU vs ORU 3-1s1","CU","ORU","CU 18","TRUE","TRUE",3,2,6,1,2,19,7,12,28
"2","180824 CU vs ORU 3-1s1","ORU","CU","18","FALSE","FALSE",3,2,6,1,2,19,7,12,28
"3","180824 CU vs ORU 3-1s2","CU","ORU","CU 18","TRUE","FALSE",3,3,7,1,1,20,4,14,25
"4","180824 CU vs ORU 3-1s2","ORU","CU","18","FALSE","TRUE",3,3,7,1,1,20,4,14,25
"5","180824 CU vs ORU 3-1s3","CU","ORU","CU 18","TRUE","TRUE",5,1,7,1,3,22,5,14,30
"6","180824 CU vs ORU 3-1s3","ORU","CU","18","FALSE","FALSE",5,1,7,1,3,22,5,14,30
"7","180824 CU vs ORU 3-1s4","CU","ORU","CU 18","TRUE","TRUE",5,1,10,0,0,26,1,16,27
"8","180824 CU vs ORU 3-1s4","ORU","CU","18","FALSE","FALSE",5,1,10,0,0,26,1,16,27
"9","180824 CU vs UNF 3-0s1","CU","UNF","CU 18","TRUE","TRUE",5,0,5,2,2,28,6,12,36
"10","180824 CU vs UNF 3-0s1","UNF","CU","18","FALSE","FALSE",5,0,5,2,2,28,6,12,36
"11","180824 CU vs UNF 3-0s2","CU","UNF","CU 18","TRUE","TRUE",3,3,7,0,0,24,5,13,29
"12","180824 CU vs UNF 3-0s2","UNF","CU","18","FALSE","FALSE",3,3,7,0,0,24,5,13,29
"13","180824 CU vs UNF 3-0s3","CU","UNF","CU 18","TRUE","TRUE",1,3,7,1,2,25,3,12,30
"14","180824 CU vs UNF 3-0s3","UNF","CU","18","FALSE","FALSE",1,3,7,1,2,25,3,12,30
"15","180825 CU @ WY 2-3s1","CU","WY","CU 18","FALSE","FALSE",5,1,6,1,1,26,8,13,35
"16","180825 CU @ WY 2-3s1","WY","CU","18","TRUE","TRUE",5,1,6,1,1,26,8,13,35
"17","180825 CU @ WY 2-3s2","CU","WY","CU 18","FALSE","FALSE",5,1,5,0,2,30,2,11,34
"18","180825 CU @ WY 2-3s2","WY","CU","18","TRUE","TRUE",5,1,5,0,2,30,2,11,34
"19","180825 CU @ WY 2-3s3","CU","WY","CU 18","FALSE","TRUE",1,1,6,1,3,29,5,9,37
"20","180825 CU @ WY 2-3s3","WY","CU","18","TRUE","FALSE",1,1,6,1,3,29,5,9,37
"21","180825 CU @ WY 2-3s4","CU","WY","CU 18","FALSE","TRUE",4,0,6,0,0,22,9,10,31
"22","180825 CU @ WY 2-3s4","WY","CU","18","TRUE","FALSE",4,0,6,0,0,22,9,10,31
"23","180825 CU @ WY 2-3s5","CU","WY","CU 18","FALSE","FALSE",6,0,4,0,0,16,1,10,17
"24","180825 CU @ WY 2-3s5","WY","CU","18","TRUE","TRUE",6,0,4,0,0,16,1,10,17
"25","180831 CU vs IL 0-3s1","CU","IL","CU 18","FALSE","FALSE",5,2,6,0,3,25,3,13,31
"26","180831 CU vs IL 0-3s1","IL","CU","18","TRUE","TRUE",5,2,6,0,3,25,3,13,31
"27","180831 CU vs IL 0-3s2","CU","IL","CU 18","FALSE","FALSE",6,1,6,0,0,27,9,13,36
"28","180831 CU vs IL 0-3s2","IL","CU","18","TRUE","TRUE",6,1,6,0,0,27,9,13,36
"29","180831 CU vs IL 0-3s3","CU","IL","CU 18","FALSE","FALSE",4,1,6,0,4,25,6,11,35
"30","180831 CU vs IL 0-3s3","IL","CU","18","TRUE","TRUE",4,1,6,0,4,25,6,11,35
"31","180901 CU vs IA 3-1s1","CU","IA","CU 18","TRUE","TRUE",4,0,7,1,3,25,4,12,32
"32","180901 CU vs IA 3-1s1","IA","CU","18","FALSE","FALSE",4,0,7,1,3,25,4,12,32
"33","180901 CU vs IA 3-1s2","CU","IA","CU 18","TRUE","TRUE",7,0,2,0,3,29,5,9,37
"34","180901 CU vs IA 3-1s2","IA","CU","18","FALSE","FALSE",7,0,2,0,3,29,5,9,37
"35","180901 CU vs IA 3-1s3","CU","IA","CU 18","TRUE","FALSE",8,1,7,0,0,27,4,16,31
"36","180901 CU vs IA 3-1s3","IA","CU","18","FALSE","TRUE",8,1,7,0,0,27,4,16,31
"37","180901 CU vs IA 3-1s4","CU","IA","CU 18","TRUE","TRUE",1,1,2,0,3,24,7,4,34
"38","180901 CU vs IA 3-1s4","IA","CU","18","FALSE","FALSE",1,1,2,0,3,24,7,4,34
"39","180907 CU vs GA 1-3s1","CU","GA","CU 18","FALSE","FALSE",6,1,7,0,1,29,2,14,32
"40","180907 CU vs GA 1-3s1","GA","CU","18","TRUE","TRUE",6,1,7,0,1,29,2,14,32
"41","180907 CU vs GA 1-3s2","CU","GA","CU 18","FALSE","TRUE",1,1,5,3,3,32,3,10,38
"42","180907 CU vs GA 1-3s2","GA","CU","18","TRUE","FALSE",1,1,5,3,3,32,3,10,38
"43","180907 CU vs GA 1-3s3","CU","GA","CU 18","FALSE","FALSE",6,0,11,1,2,24,4,18,30
"44","180907 CU vs GA 1-3s3","GA","CU","18","TRUE","TRUE",6,0,11,1,2,24,4,18,30
"45","180907 CU vs GA 1-3s4","CU","GA","CU 18","FALSE","FALSE",4,0,5,0,1,32,2,9,35
"46","180907 CU vs GA 1-3s4","GA","CU","18","TRUE","TRUE",4,0,5,0,1,32,2,9,35
"47","180908 CU vs NC 3-0s1","CU","NC","CU 18","TRUE","TRUE",3,0,6,0,3,23,4,9,30
"48","180908 CU vs NC 3-0s1","NC","CU","18","FALSE","FALSE",3,0,6,0,3,23,4,9,30
"49","180908 CU vs NC 3-0s2","CU","NC","CU 18","TRUE","TRUE",4,2,3,0,3,26,5,9,34
"50","180908 CU vs NC 3-0s2","NC","CU","18","FALSE","FALSE",4,2,3,0,3,26,5,9,34
"51","180908 CU vs NC 3-0s3","CU","NC","CU 18","TRUE","TRUE",2,2,8,1,3,26,3,13,32
"52","180908 CU vs NC 3-0s3","NC","CU","18","FALSE","FALSE",2,2,8,1,3,26,3,13,32
"53","180908 CU vs OK 3-0s1","CU","OK","CU 18","TRUE","TRUE",4,1,4,0,1,23,4,9,28
"54","180908 CU vs OK 3-0s1","OK","CU","18","FALSE","FALSE",4,1,4,0,1,23,4,9,28
"55","180908 CU vs OK 3-0s2","CU","OK","CU 18","TRUE","TRUE",4,0,7,0,6,29,4,11,39
"56","180908 CU vs OK 3-0s2","OK","CU","18","FALSE","FALSE",4,0,7,0,6,29,4,11,39
